,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Yes,0,1102,1,1,2,5,1,2,1,94,3,2,8,4,0,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5
1,49,No,1,279,0,8,1,5,2,3,0,61,2,2,7,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7
2,37,Yes,0,1373,0,2,2,1,4,4,0,92,2,1,6,3,0,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0
3,33,No,1,1392,0,3,4,5,5,4,1,56,3,1,7,3,2,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0
4,27,No,0,591,0,2,1,4,7,1,0,40,3,1,6,2,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2
5,32,No,1,1005,0,2,2,5,8,4,0,79,3,1,6,4,0,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6
6,59,No,0,1324,0,3,3,4,10,3,1,81,4,1,6,1,2,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0
7,30,No,0,1358,0,24,1,5,11,4,0,67,3,1,6,3,1,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0
8,38,No,1,216,0,23,3,5,12,4,0,44,2,3,5,3,0,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8
9,36,No,0,1299,0,27,3,4,13,3,0,94,3,2,4,3,2,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7
10,35,No,0,809,0,16,3,4,14,1,0,84,4,1,6,2,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3
11,29,No,0,153,0,15,2,5,15,4,1,49,2,2,6,3,0,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8
12,31,No,0,670,0,26,1,5,16,1,0,31,3,1,7,3,1,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3
13,34,No,0,1346,0,19,2,4,18,2,0,93,3,1,6,4,1,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2
14,28,Yes,0,103,0,24,3,5,19,3,0,50,2,1,6,3,0,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3
15,29,No,0,1389,0,21,4,5,20,2,1,51,4,3,5,1,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8
16,32,No,0,334,0,5,2,5,21,1,0,80,4,1,7,2,1,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5
17,22,No,2,1123,0,16,2,4,22,4,0,96,4,1,6,4,1,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0
18,53,No,0,1219,1,2,4,5,23,1,1,78,2,4,3,4,2,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7
19,38,No,0,371,0,2,3,5,24,4,0,45,3,1,7,4,0,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2
20,24,No,2,673,0,11,2,1,26,1,1,96,4,2,5,3,1,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3
21,36,Yes,0,1218,1,9,4,5,27,3,0,82,2,1,2,1,0,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3
22,34,No,0,419,0,7,4,5,28,1,1,53,3,3,1,2,0,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11
23,21,No,0,391,0,15,2,5,30,3,0,96,3,1,7,4,0,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0
24,34,Yes,0,699,0,6,1,4,31,2,0,83,3,1,7,1,0,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3
25,53,No,0,1282,0,5,3,1,32,3,1,58,3,5,3,3,1,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8
26,32,Yes,1,1125,0,16,1,5,33,2,1,72,1,1,7,1,0,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7
27,42,No,0,691,1,8,4,3,35,3,0,48,3,2,8,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2
28,44,No,0,477,0,7,4,4,36,1,1,42,2,3,4,4,2,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17
29,46,No,0,705,1,2,4,3,38,2,1,83,3,5,3,1,0,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1
30,33,No,0,924,0,2,3,4,39,3,0,78,3,1,6,4,0,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0
31,44,No,0,1459,0,10,4,1,40,4,0,41,3,2,4,4,2,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3
32,30,No,0,125,0,9,2,4,41,4,0,83,2,1,6,3,0,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8
33,39,Yes,0,895,1,5,3,2,42,4,0,56,3,2,2,4,2,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0
34,24,Yes,0,813,0,1,3,4,45,2,0,61,3,1,7,4,2,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0
35,43,No,0,1273,0,2,2,4,46,4,1,72,4,1,7,3,1,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4
36,50,Yes,0,869,1,3,2,3,47,1,0,86,2,1,2,3,2,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2
37,35,No,0,890,1,2,3,3,49,4,1,97,3,1,2,4,2,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2
38,36,No,0,852,0,5,4,5,51,2,1,82,2,1,7,1,2,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0
39,33,No,1,1141,1,1,3,5,52,3,1,42,4,2,8,1,2,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3
40,35,No,0,464,0,4,2,1,53,3,0,75,3,1,6,4,1,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0
41,27,No,0,1240,0,2,4,5,54,4,1,33,3,1,6,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0
